Country,Country Code,Region,Date,Year,Number of MPs,Percent female MPs,Mean age,Median age,Percent MPs aged 30 or under,Percent MPs aged 35 or under,Percent MPs aged 40 or under,Percent MPs aged 41 to 60,Percent MPs aged 61 or over,Percent female MPs aged 30 or under,Percent female MPs aged 35 or under,Percent female MPs aged 40 or under,Percent female MPs aged 41 to 60,Percent female MPs aged 61 or over,Age Representation Index 30 or under (ARI 30),Age Representation Index 35 or under (ARI 35),Age Representation Index 40 or under (ARI 40),Age Representation Index 41 to 60 (ARI 41 to 60),Age Representation Index 61 or over (ARI 61 plus),Coverage MPs,Coverage Age,Coverage Gender
"Kyrgyzstan","KGZ","Asia","2021-11-28","2021","90","21.1","50.5","50","0","13.3","27.8","66.7","5.6","0","21.1","21.1","68.4","10.5","0","0.32","0.53","2.02","0.39","75","75","75"
"Latvia","LVA","Eastern Europe","2018-10-26","2018","100","30","47.6","48","6","17","28","59","13","3.3","10","13.3","73.3","13.3","0.2","0.41","0.53","1.78","0.92","100","100","100"
"Lesotho","LSO","Sub-Saharan Africa","2017-06-12","2017","120","9.2","60.4","60","0","0","0","60","40","0","0","0","100","0","0","0","0","2.09","2.03","100","4","66"
"Liechtenstein","LIE","Western Europe","2021-02-07","2021","25","36","52","50.5","0","16.7","16.7","66.7","16.7","0","11.1","11.1","44.4","11.1","NA","NA","NA","NA","NA","100","88","100"
"Lithuania","LTU","Eastern Europe","2016-10-23","2016","141","23.6","51.4","54.5","2.1","12.1","20.7","59.3","20","6.1","24.2","33.3","54.5","12.1","0.07","0.29","0.39","1.79","1.41","99.3","99.3","99.3"
"Macau","MAC","Asia","2017-09-17","2017","33","18.2","50.2","49","3","6.1","21.2","63.6","15.2","0","16.7","50","50","0","0.1","0.15","0.4","1.92","1.07","100","100","100"
"Macau","MAC","Asia","2021-09-12","2021","33","15.2","52","52","0","0","75","25","0","0","0","60","20","0","0","0","0.41","1.61","1.77","100","97","100"
"Malaysia","MYS","Asia","2018-05-09","2018","222","13.2","53.8","55","1.4","3.8","13.4","59.3","27.3","3.6","10.7","32.1","50","17.9","0.05","0.09","0.26","1.81","1.94","99.1","94.1","99.1"
"Marshall Islands","MHL","Pacific","2015-11-16","2015","33","9.1","57.8","61.5","0","0","0","43.8","56.3","0","0","0","0","100","NA","NA","NA","NA","NA","100","48.5","100"
"Marshall Islands","MHL","Pacific","2019-11-18","2019","33","6.7","57.1","63","11.1","11.1","11.1","33.3","55.6","50","50","50","0","50","NA","NA","NA","NA","NA","90.9","27.3","90.9"
"Mexico","MEX","North America","2018-06-01","2018","500","47.5","47.9","47","5.4","13.9","26.7","59.2","14.1","7.5","18.8","31.3","57.1","11.7","0.19","0.35","0.52","1.84","1.03","100.6","100.4","100.6"
"Mexico","MEX","North America","2021-06-06","2021","500","50.4","47.9","48","5.2","14.8","28.9","55.7","15.4","7.9","17.5","32.9","54","13.1","0.18","0.37","0.56","1.74","1.12","100","99.8","100"
"Moldova","MDA","Eastern Europe","2019-02-24","2019","101","24.8","47","46","6.9","13.9","29.7","57.4","12.9","4","8","28","56","16","0.24","0.34","0.56","1.74","0.91","100","100","100"
"Moldova","MDA","Eastern Europe","2021-07-11","2021","101","39.6","47.2","47","7.9","15.8","36.8","48.7","14.5","9.4","15.6","37.5","50","12.5","0.27","0.38","0.7","1.47","1.02","100","75.2","100"
"Mongolia","MNG","Asia","2020-06-24","2020","76","17.1","48.1","47","0","6.1","15.2","78.8","6.1","0","0","40","60","0","0","0.15","0.29","2.38","0.43","100","43.4","100"
"Montenegro","MNE","Eastern Europe","2016-10-16","2016","81","23.5","47.9","50.5","6.3","14.1","32.8","54.7","12.5","0","21.4","35.7","57.1","7.1","0.21","0.34","0.62","1.65","0.88","100","79","100"
"Namibia","NAM","Sub-Saharan Africa","2019-11-27","2019","104","44.2","53.3","55","4.5","6.7","10.1","60.7","29.2","8.6","8.6","8.6","60","31.4","0.15","0.16","0.19","1.83","2.06","108.7","85.6","108.7"
"Nepal","NPL","Asia","2017-12-07","2017","275","33.2","52.1","53","0","4.2","12.4","67.2","20.5","0","9.1","23.9","63.6","12.5","0","0.1","0.24","2.05","1.46","97.5","94.2","97.5"
"New Caledonia","NCL","Pacific","2019-05-12","2019","54","51.9","54.6","54.5","0","9.1","9.1","50","40.9","0","0","0","83.3","16.7","0","0.22","0.17","1.51","2.89","100","40.7","100"
"New Zealand","NZL","Pacific","2020-10-17","2020","120","49.2","47.6","48","4.3","9.4","26.5","63.2","10.3","6.9","8.6","27.6","63.8","8.6","0.15","0.23","0.5","1.91","0.72","100","97.5","100"
"Nigeria","NGA","Sub-Saharan Africa","2019-02-23","2019","360","1.7","50.7","51","0","2.3","10.2","84","5.8","0","0","0","100","0","0","0.06","0.21","2.73","0.44","97.5","95.6","97.5"
"Anguilla","AIA","South and Central America","2020-06-29","2020","7","28.6","43","43","50","50","50","50","0","100","100","100","0","0","NA","NA","NA","NA","NA","100","28.6","100"
"Aruba","ABW","South and Central America","2017-09-22","2017","21","23.8","47.3","45.5","0","0","16.7","66.7","16.7","0","0","0","66.7","33.3","0","0","0.32","2.01","1.18","100","28.6","100"
"Micronesia","FSM","Pacific","2015-03-03","2015","14","7.1","57.0","58.5","0","0","0","50","50","0","0","0","100","0","0","0","0","1.51","3.53","100","28.6","100"
"Micronesia","FSM","Pacific","2019-03-05","2019","14","0","64.5","62.5","0","0","0","50","50","0","0","0","0","0","0","0","0","1.51","3.53","100","28.6","100"
"Micronesia","FSM","Pacific","2021-03-02","2021","14","0","67.7","69","0","0","0","33.3","66.7","0","0","0","0","0","0","0","0","1.01","4.71","100","21.4","100"
"Northern Ireland","","Western Europe","2022-05-05","2022","90","36.7","47.8","49","5.6","22.5","32.4","53.5","14.1","4.3","30.4","39.1","56.5","4.3","NA","NA","NA","NA","NA","100","78.9","100"
"Norway","NOR","Western Europe","2021-09-13","2021","169","46.7","45.4","45","10.7","23.7","34.9","56.2","8.9","11.4","25.3","36.7","55.7","7.6","0.36","0.57","0.66","1.7","0.63","100","100","100"
"Pakistan","PAK","Asia","2018-07-25","2018","342","19.9","54.3","54","1.2","4.9","9.8","58.5","31.7","0","6.3","18.8","62.5","18.8","0.04","0.12","0.2","1.89","2.39","99.7","48","99.7"
"Panama","PAN","South and Central America","2019-05-05","2019","71","23.9","52.1","52","11.1","11.1","15.6","64.4","20","11.8","11.8","11.8","35.3","11.8","0.38","0.27","0.3","1.95","1.41","100","63.4","100"
"Papua New Guinea","PNG","Pacific","2017-07-08","2017","111","0","53.1","52","0","0","2.6","82.1","15.4","0","0","0","0","0","0","0","0.05","2.49","1.09","100","35.1","100"
"Peru","PER","South and Central America","2016-04-10","2016","130","25.4","44.6","44","10","22.3","40","49.2","10.8","12.1","21.2","33.3","54.5","12.1","0.34","0.54","0.76","1.5","0.77","100","100","100"
"Peru","PER","South and Central America","2021-04-11","2021","130","36.9","50.3","50","3.8","13.1","26.9","50","23.1","6.3","20.8","39.6","52.1","8.3","0.13","0.32","0.51","1.52","1.64","100","100","100"
"Philippines","PHL","Asia","2019-05-13","2019","316","28.6","53.65","52","3.9","9.8","17.6","62.7","19.6","2.3","5.7","10.2","36.4","11.4","0.16","0.19","0.28","1.82","1.95","97.5","62.7","97.5"
"Philippines","PHL","Asia","2022-05-09","2022","316","26","55.3","55","4.2","9.7","11.8","56.3","31.9","3","3","9.1","72.7","18.2","0.14","0.24","0.23","1.75","2.32","98.4","45.6","98.4"
"Puerto Rico","PRI","South and Central America","2020-11-03","2020","51","20.4","48.5","47.5","0","11.5","26.9","53.8","19.2","0","0","20","30","0","0","0.28","0.51","1.63","1.36","96","51","96"
"Romania","ROU","Eastern Europe","2020-12-06","2020","330","18.2","44.8","44","4.2","17.9","34.8","59.1","6.1","5","20","43.3","51.7","5","0.14","0.43","0.66","1.79","0.43","100","100","100"
"Russia","RUS","Eastern Europe","2021-09-19","2021","450","16.9","52.6","52","1.8","7.1","14.9","60.1","25.1","1.3","11.8","19.7","53.9","26.3","0.06","0.18","0.29","1.86","1.81","100.2","100.2","100.2"
"Saint Kitts and Nevis","KNA","South and Central America","2020-06-05","2020","15","20","56.5","56","0","0","9.1","54.5","36.4","0","0","0","50","50","NA","NA","NA","NA","NA","100","73.3","100"
"Saint Lucia","LCA","South and Central America","2021-07-26","2021","17","11.8","63.4","63","0","0","0","20","80","0","0","0","0","0","0","0","0","0.6","5.65","100","29.4","100"
"Saint Martin","MAF","South and Central America","2020-01-09","2020","15","40","46.4","44","6.7","20","46.7","33.3","20","0","0","50","33.3","16.7","NA","NA","NA","NA","NA","100","100","100"
"Saint Pierre and Miquelon","SPM","North America","2022-03-20","2022","19","42.1","50.6","51","20","20","20","60","20","50","50","50","50","0","NA","NA","NA","NA","NA","100","26","100"
"Samoa","WSM","Pacific","2021-04-09","2021","51","7.8","60.8","60","0","0","3.8","53.8","42.3","0","0","0","50","50","0","0","0.07","1.63","2.99","100","51","100"
"San Marino","SMR","Western Europe","2019-12-08","2019","60","36.7","45.9","45.5","11.7","16.7","31.7","55","13.3","4.5","9.1","27.3","59.1","13.6","NA","NA","NA","NA","NA","100","100","100"
"Scotland","","Western Europe","2021-05-06","2021","129","45","50.3","52","4.3","8.7","20","67","13","8.33","12.5","20.83","70.83","8.33","NA","NA","NA","NA","NA","100","89.1","100"
"Serbia","SRB","Eastern Europe","2020-06-21","2020","250","39.2","44.5","43","14","30.8","42.8","44.4","12.8","18.4","37.8","51","39.8","9.2","0.48","0.75","0.81","1.34","0.90","100","100","100"
"Serbia","SRB","Eastern Europe","2022-04-03","2022","250","37.6","48.2","47","5.6","18.4","28.4","54.4","17.2","7.4","27.7","42.6","46.8","10.6","0.19","0.45","0.54","1.65","1.22","100","100","100"
"Seychelles","SYC","Sub-Saharan Africa","2016-09-10","2016","33","21.2","45.2","46","4.8","9.5","33.3","61.9","4.8","25","35","50","50","0","0.16","0.23","0.63","1.87","0.34","100","63.6","100"
